Event Name,Event Type,Event Description,Calendar,All Day,Public/private,Reported Count,Start Date,End Date,Created By,URL,Image URL
Outlast Season 2,Sale,"Outlast Season 2  History's Alone is one of the most popular survival shows out there, but the one complaint I have about it is that the contestants — who are dropped into the wilderness of Alaska to fend for themselves with very few tools in a last-man-standing battle — are a little too alone. Netflix's Outlast alters that formula by forcing its competitors to join together because of one rule: In order to be eligible for the million dollar prize, they must be part of a team. Aside from that, there are no restrictions, and sabotage is definitely on the table. The looseness of the show led to one of reality TV's most notorious moments in Season 1 as competitiveness brought out the worst in some people, and now that others have seen how it can be done, will Season 2 see similar societal norms collapse? -Tim Surette [Trailer]",sephora Calendar,No,Public,0,Sept. 4,,,https://www.tvguide.com/news/new-on-netflix/,
The Perfect Couple,Sale,"The Perfect Couple  Amelia Sacks  was about to have the wedding of the season. She's marrying into the richest family on Nantucket, and her future mother-in-law Greer Garrison Winbury  is known to be the hostess with the mostest. But planning for the celebration comes to a halt when a dead body appears on the beach. Amelia, along with the Winburies, find themselves in the middle of an investigation that threatens to uncover far more than the truth behind the death. Also joining the star-studded cast are Liev Schreiber, Billy Howle, Dakota Fanning, and Meghann Fahy. [Trailer]",sephora Calendar,No,Public,0,Sept. 5,,,https://www.tvguide.com/news/new-on-netflix/,
Uglies,Sale,"Uglies  Based on the novel of the same name by Scott Westerfeld, Uglies is set in a dystopian society that requires cosmetic surgery for everyone who turns 16. Tally  has long been waiting for this operation that would turn her ""pretty."" But when her birthday comes, she begins to learn there's far more to the celebrated procedure than meets the eye. Chase Stokes, best known for his performance as John B in Outer Banks, portrays Peris in the adaptation. The film also stars Keith Powers as David, Brianne Tju as Shay, and Laverne Cox as Dr. Cable. [Trailer]",sephora Calendar,No,Public,0,Sept. 13,,,https://www.tvguide.com/news/new-on-netflix/,
"Call the Midwife: Series 13
Chestnut vs. Kobayashi: Unfinished Beef
The Hughleys: Seasons 1-4",Sale,,sephora Calendar,No,Public,0,Sept. 2,,,https://www.tvguide.com/news/new-on-netflix/,
"Last One Standing: Season 3 (JP)
Phil Wang: Wang in There, Baby! (GB)
Untold: Hope Solo vs. U.S. Soccer",Sale,,sephora Calendar,No,Public,0,Sept. 3,,,https://www.tvguide.com/news/new-on-netflix/,
Outlast: Season 2,Sale,,sephora Calendar,No,Public,0,Sept. 4,,,https://www.tvguide.com/news/new-on-netflix/,
"Apollo 13: Survival (GB)
Caught in the Web: The Murders Behind Zona DivasThe Perfect Couple",Sale,,sephora Calendar,No,Public,0,Sept. 5,,,https://www.tvguide.com/news/new-on-netflix/,
"Disco, Ibiza, Locomía (ES)
Rebel Ridge
Selling Sunset: Season 8",Sale,,sephora Calendar,No,Public,0,Sept. 6,,,https://www.tvguide.com/news/new-on-netflix/,
Edge of Tomorrow,Sale,,sephora Calendar,No,Public,0,Sept. 7,,,https://www.tvguide.com/news/new-on-netflix/,
Hot Wheels Let's Race: Season 2,Sale,,sephora Calendar,No,Public,0,Sept. 9,,,https://www.tvguide.com/news/new-on-netflix/,
"Ahir Shah: Ends (GB)
Jack Whitehall: Fatherhood with My Father (GB)",Sale,,sephora Calendar,No,Public,0,Sept. 10,,,https://www.tvguide.com/news/new-on-netflix/,
"Boxer
The Circle: Season 7
Technoboys (MX)",Sale,,sephora Calendar,No,Public,0,Sept. 11,,,https://www.tvguide.com/news/new-on-netflix/,
"Ángel Di María: Breaking Down the Wall (AR)
Billionaire Island (NO)
Black Mass
Emily in Paris: Season 4 Part 2
Into the Fire: The Lost Daughter
Midnight at the Pera Palace: Season 2 (TR)",Sale,,sephora Calendar,No,Public,0,Sept. 12,,,https://www.tvguide.com/news/new-on-netflix/,
"Officer Black Belt (KR)
Sector 36 (IN)
Uglies",Sale,,sephora Calendar,No,Public,0,Sept. 13,,,https://www.tvguide.com/news/new-on-netflix/,
"Ancient Aliens: Season 8
Heels: Seasons 1-2
Intervention: Season 23",Sale,,sephora Calendar,No,Public,0,Sept. 15,,,https://www.tvguide.com/news/new-on-netflix/,
"30 for 30: Catholics vs. Convicts
30 for 30: Pony Excess
30 for 30: Rand University
30 for 30: The U
30 for 30: The U Part 2
American Gangster
CoComelon: Season 11
Entourage",Sale,,sephora Calendar,No,Public,0,Sept. 16,,,https://www.tvguide.com/news/new-on-netflix/,
"Culinary Class Wars (KR)
Live from The Other Side with Tyler Henry",Sale,,sephora Calendar,No,Public,0,Sept. 17,,,https://www.tvguide.com/news/new-on-netflix/,
"Envious (AR)
What's Next? The Future with Bill Gates",Sale,,sephora Calendar,No,Public,0,Sept. 18,,,https://www.tvguide.com/news/new-on-netflix/,
"Monsters: The Lyle and Erik Menendez Story
The Queen of Villains (JP)
Twilight of the Gods",Sale,,sephora Calendar,No,Public,0,Sept. 19,,,https://www.tvguide.com/news/new-on-netflix/,
"His Three Daughters
KLASS 95: The Power of Beauty (CO)",Sale,,sephora Calendar,No,Public,0,Sept. 20,,,https://www.tvguide.com/news/new-on-netflix/,
Penelope: Season 1,Sale,,sephora Calendar,No,Public,0,Sept. 24,,,https://www.tvguide.com/news/new-on-netflix/,
"A True Gentleman (TR)
Everything Calls for Salvation: Season 2 (IT)
Nobody Wants This",Sale,,sephora Calendar,No,Public,0,Sept. 26,,,https://www.tvguide.com/news/new-on-netflix/,
"Lisabi: The Uprising (NG)
Rez Ball
We Were Kings (MX)
Will & Harper",Sale,,sephora Calendar,No,Public,0,Sept. 27,,,https://www.tvguide.com/news/new-on-netflix/,
